,Compound,Date,Negative,Neutral,Positive,Text,User
0,0.3612,Thu Mar 29 01:03:17 +0000 2018,0.783,0.0,0.217,"'I felt dead', kidnap survivor Amanda Lindhout tells court https://t.co/NznECdfAAz",@BBCWorld
1,0.0,Thu Mar 29 00:15:16 +0000 2018,1.0,0.0,0.0,'Lost' film predicting rise of Nazism returns to screen https://t.co/Bbql2v7fel,@BBCWorld
2,0.3818,Thu Mar 29 00:15:14 +0000 2018,0.698,0.0,0.302,Does Justin Trudeau apologise too much? https://t.co/eOnyBSRlXA,@BBCWorld
3,0.0,Thu Mar 29 00:03:00 +0000 2018,1.0,0.0,0.0,Cycling the length of the Dakota Access pipeline https://t.co/7IfdnlMQuh,@BBCWorld
4,0.5106,Wed Mar 28 23:48:28 +0000 2018,0.732,0.0,0.268,Carnival Cruise offers teen free trip for Snapchat handle https://t.co/95YpLMcz9w,@BBCWorld
5,0.8786,Wed Mar 28 23:32:23 +0000 2018,0.409,0.0,0.591,Inxeba wins South Africa film award despite ban attempt https://t.co/052nWUIMQj,@BBCWorld
6,0.0,Wed Mar 28 22:56:04 +0000 2018,1.0,0.0,0.0,Miguna Miguna : Kenya opposition figure deported again https://t.co/A55w4tOrBP,@BBCWorld
7,0.0,Wed Mar 28 22:33:26 +0000 2018,1.0,0.0,0.0,Malala returns to Pakistan after six years https://t.co/OqkO30wMcZ,@BBCWorld
8,0.0,Wed Mar 28 22:11:17 +0000 2018,1.0,0.0,0.0,Trump picks his doctor to replace Shulkin as veterans secretary https://t.co/wXZkhipmT2,@BBCWorld
9,-0.6249,Wed Mar 28 21:33:05 +0000 2018,0.549,0.451,0.0,Man has 'world's worst' super-gonorrhoea https://t.co/MV4ur4kzZV,@BBCWorld
10,-0.6908,Wed Mar 28 20:17:31 +0000 2018,0.598,0.402,0.0,Silent march in Paris after 'anti-Semitic' murder https://t.co/GHTDdMslp5,@BBCWorld
11,-0.3818,Wed Mar 28 19:34:17 +0000 2018,0.755,0.245,0.0,Aziza Oubaita on the fight of her life https://t.co/rQlPJt8UTN,@BBCWorld
12,-0.5859,Wed Mar 28 19:29:54 +0000 2018,0.847,0.153,0.0,RT @BBCBreaking: UK police probing poisoning of ex-spy and daughter believe first contact with nerve agent came from their front door https…,@BBCWorld
13,0.3802,Wed Mar 28 19:24:18 +0000 2018,0.915,0.0,0.085,"RT @amolrajanBBC: Hey guys. Repeat after me, please! Data is not the new oil. Data is not the new oil. Data is not the new oil. Data is not…",@BBCWorld
14,0.0,Wed Mar 28 19:09:43 +0000 2018,1.0,0.0,0.0,Spain police recover artefacts looted by IS in Libya https://t.co/YYbxtwBMkh,@BBCWorld
15,0.0,Wed Mar 28 17:34:13 +0000 2018,1.0,0.0,0.0,"RT @BBCScotlandNews: In the 1980s, 'Hercules' the bear was a star. He had roles in adverts, films and even received a telegram from US Pres…",@BBCWorld
16,-0.3182,Wed Mar 28 17:34:06 +0000 2018,0.82,0.18,0.0,"Ecuador cuts Julian Assange's internet connection at its embassy in London, preventing him from communicating with… https://t.co/GmISwgfdpl",@BBCWorld
17,0.0,Wed Mar 28 17:13:44 +0000 2018,1.0,0.0,0.0,Ireland's abortion referendum to be held on 25 May https://t.co/gkiI7Ygl0n,@BBCWorld
18,0.5719,Wed Mar 28 17:09:09 +0000 2018,0.548,0.142,0.311,"Police officer Arnaud Beltrame ""fell as a hero"" after showing ""exceptional courage"" during Islamist attack https://t.co/72NKU8TEHU",@BBCWorld
19,-0.5423,Wed Mar 28 17:04:52 +0000 2018,0.72,0.28,0.0,Houston officer kills unarmed man walking with trousers down https://t.co/PSY710USjk,@BBCWorld
20,0.3612,Wed Mar 28 16:27:48 +0000 2018,0.783,0.0,0.217,Trump keen to meet Kim after 'successful' China talks https://t.co/ADYeZ5Y3fI,@BBCWorld
21,-0.4404,Wed Mar 28 16:02:21 +0000 2018,0.775,0.225,0.0,"For Parkland students, high profiles bring wave of personal attacks https://t.co/kxGh2ifScx",@BBCWorld
22,0.0,Wed Mar 28 15:57:53 +0000 2018,1.0,0.0,0.0,Poland signs $4.75bn deal to buy US Patriot missiles https://t.co/908MV984r3,@BBCWorld
23,0.0,Wed Mar 28 15:37:10 +0000 2018,1.0,0.0,0.0,Madrid police dogs get 'Mozart effect' music therapy https://t.co/gZCt2nHSHR,@BBCWorld
24,0.2235,Wed Mar 28 15:31:26 +0000 2018,0.91,0.0,0.09,"RT @BBCNews: ""I have cerebral palsy. But that won't stop me from becoming a barrister."" 

This is Daniel's story

https://t.co/fTssqqhK7D h…",@BBCWorld
25,-0.7096,Wed Mar 28 14:46:13 +0000 2018,0.543,0.457,0.0,Alexandre Bissonnette pleads guilty to Quebec mosque attack https://t.co/SHS5UcQmz9,@BBCWorld
26,-0.4767,Wed Mar 28 14:34:06 +0000 2018,0.721,0.279,0.0,Clara Ponsati: Arrested Catalan politician released on bail https://t.co/UI5TiPgPY0,@BBCWorld
27,-0.5574,Wed Mar 28 14:06:10 +0000 2018,0.581,0.419,0.0,Australia bans cricketers over cheating https://t.co/LdcatmztQg,@BBCWorld
28,0.765,Wed Mar 28 13:42:35 +0000 2018,0.431,0.0,0.569,Did lottery win teen choose wisely? https://t.co/PheTk7Qodo,@BBCWorld
29,0.0,Wed Mar 28 13:37:05 +0000 2018,1.0,0.0,0.0,Ireland to get first official nude beach https://t.co/0mBiqRqovl,@BBCWorld
30,-0.296,Wed Mar 28 13:37:05 +0000 2018,0.804,0.196,0.0,Adea Shabani: Body of missing actress 'found' in California https://t.co/iZrQ3OcyTQ,@BBCWorld
31,-0.6808,Wed Mar 28 13:36:10 +0000 2018,0.669,0.255,0.076,"RT @BBCSport: A country at war, no league competition since 2014 and unable to play games at home.

None of that stopped Yemen, who have re…",@BBCWorld
32,0.4939,Wed Mar 28 13:03:04 +0000 2018,0.738,0.0,0.262,Former Disney star Caroline Sunshine joins Trump's press office https://t.co/RAh3MKl5qB,@BBCWorld
33,0.0,Wed Mar 28 12:48:50 +0000 2018,1.0,0.0,0.0,Stormy Daniels seeks Trump testimony on her sex claims https://t.co/7LJOHbCNVt,@BBCWorld
34,0.1027,Wed Mar 28 12:36:18 +0000 2018,0.826,0.079,0.095,RT @BBCtrending: What do you do when your 13-year-old is acting a bit snobbish? This mum's answer started a huge debate about entitlement a…,@BBCWorld
35,0.0,Wed Mar 28 12:10:13 +0000 2018,1.0,0.0,0.0,Paris ceremony for police officer Arnaud Beltrame https://t.co/Cps7oENssK,@BBCWorld
36,0.0,Wed Mar 28 12:02:04 +0000 2018,1.0,0.0,0.0,Stephon Clark's brother storms Sacramento council meeting https://t.co/jgPI0VRlxe,@BBCWorld
37,0.0,Wed Mar 28 11:41:54 +0000 2018,1.0,0.0,0.0,Abiy Ahmed named as head of Ethiopia's EPRDF ruling coalition https://t.co/so2ojRtP7H,@BBCWorld
38,0.4265,Wed Mar 28 10:56:42 +0000 2018,0.287,0.247,0.466,Florida shooting survivor: Befriending killer wouldn't stop murder https://t.co/s26YZaWOpZ,@BBCWorld
39,0.0,Wed Mar 28 10:41:39 +0000 2018,1.0,0.0,0.0,Ecuador searches for reporters kidnapped in border area https://t.co/cxSPwvkMuu,@BBCWorld
40,0.0,Wed Mar 28 10:30:54 +0000 2018,1.0,0.0,0.0,"""He gave his life for strangers.""

President Macron leads national memorial service in Paris for French police offi… https://t.co/ms8yHkg2Cb",@BBCWorld
41,0.0,Wed Mar 28 10:02:46 +0000 2018,1.0,0.0,0.0,RT @richard_conway: Cricket Australia on future leadership roles: https://t.co/nZV2Ynjpud,@BBCWorld
42,-0.4767,Wed Mar 28 10:02:21 +0000 2018,0.86,0.14,0.0,"RT @richard_conway: Steve Smith and David Warner suspended for 12 months. Bancroft given 9 month suspension.
Cricket Australia reveal key f…",@BBCWorld
43,-0.9081,Wed Mar 28 09:27:31 +0000 2018,0.412,0.588,0.0,Vicky Momberg: South African estate agent jailed for racist abuse https://t.co/SHjRO0LzZV,@BBCWorld
44,-0.6705,Wed Mar 28 09:23:48 +0000 2018,0.645,0.355,0.0,Syria war: Troops mass around last rebel town in Eastern Ghouta https://t.co/JsQwkaX89Z,@BBCWorld
45,-0.6124,Wed Mar 28 09:23:48 +0000 2018,0.545,0.455,0.0,Russia Kemerovo fire: First funerals take place https://t.co/mToI9WSIBa,@BBCWorld
46,0.2846,Wed Mar 28 09:18:48 +0000 2018,0.688,0.153,0.159,"Utah trooper hit by skidding car 😮 

Warning: you may find this video distressing — but thankfully the officer was… https://t.co/EsaqwkrZxD",@BBCWorld
47,0.0,Wed Mar 28 08:47:44 +0000 2018,1.0,0.0,0.0,Kim Jong-un has visited China for his first known foreign trip since taking office in 2011 🇰🇵🇨🇳 https://t.co/T821HpArit,@BBCWorld
48,-0.6808,Wed Mar 28 08:39:24 +0000 2018,0.556,0.444,0.0,Spy poisoning: Russian media accuse West of 'crusade' https://t.co/p7czMSUiMi,@BBCWorld
49,-0.6901,Wed Mar 28 07:44:36 +0000 2018,0.808,0.192,0.0,"RT @BBCSteveR: ""In many ways, what we have now is more dangerous than the Cold War."" My take on escalating tension between Russia and the W…",@BBCWorld
50,0.5859,Wed Mar 28 07:01:38 +0000 2018,0.612,0.0,0.388,Win Myint elected new Myanmar president https://t.co/KEV0A6uAmD,@BBCWorld
51,0.0,Wed Mar 28 06:28:00 +0000 2018,1.0,0.0,0.0,Walmart shelves 'hyper-sexualised' Cosmo https://t.co/xBTmkeReDT,@BBCWorld
52,-0.7184,Wed Mar 28 06:26:05 +0000 2018,0.778,0.222,0.0,"RT @BBCSteveR: On this day of national mourning in Russia, one paper here declares: ""Today Russia is crying for the children of Kemerovo.""…",@BBCWorld
53,0.0,Wed Mar 28 04:44:44 +0000 2018,1.0,0.0,0.0,Utah trooper hit by skidding car https://t.co/sgr0ZHWwX3,@BBCWorld
54,0.0,Wed Mar 28 04:26:50 +0000 2018,1.0,0.0,0.0,Kim in Beijing: Why Xi's still the one he needs to see https://t.co/PefHB8UprZ,@BBCWorld
55,0.128,Wed Mar 28 04:26:50 +0000 2018,0.544,0.211,0.245,Trèbes attack: Paris ceremony for hero policeman Arnaud Beltrame https://t.co/6naeoAd4HT,@BBCWorld
56,0.0,Wed Mar 28 04:18:40 +0000 2018,1.0,0.0,0.0,"Australia's indigenous languages have one source, study says https://t.co/7QoMFrTeBU",@BBCWorld
57,0.0,Wed Mar 28 04:18:40 +0000 2018,0.645,0.177,0.177,Tesla and Nvidia shares fall amid driverless car doubts https://t.co/ZvAPiF6wgd,@BBCWorld
58,0.5719,Wed Mar 28 04:18:40 +0000 2018,0.73,0.0,0.27,Canada teen wins $1000 a week for life on 18th birthday https://t.co/NeTuIPmXby,@BBCWorld
59,-0.7783,Wed Mar 28 04:18:40 +0000 2018,0.473,0.527,0.0,Alton Sterling: No charges in 2016 fatal police shooting https://t.co/ahSn5LVRLc,@BBCWorld
60,0.0,Wed Mar 28 04:05:47 +0000 2018,1.0,0.0,0.0,N Korea's Kim Jong-un visits China's Xi https://t.co/SEc2LT35DA,@BBCWorld
61,0.4019,Wed Mar 28 02:14:16 +0000 2018,0.881,0.0,0.119,"RT @BBCNewsAsia: Definitely not something you see every day. 🐘

A video of a 'smoking' wild elephant in India is baffling scientists and wi…",@BBCWorld
62,-0.4019,Wed Mar 28 01:44:28 +0000 2018,0.891,0.109,0.0,"RT @BBCNewsAsia: Vietnamese singer and activist Mai Khoi has been detained in Hanoi on her return home from a European tour.

She was held…",@BBCWorld
63,0.0,Wed Mar 28 01:34:04 +0000 2018,1.0,0.0,0.0,Letter from Africa: Will age be a factor in Zimbabwe's poll? https://t.co/4UunbFffbZ,@BBCWorld
64,-0.0772,Wed Mar 28 01:34:04 +0000 2018,0.822,0.178,0.0,The world's toughest place to study? https://t.co/JdkkQo8XtQ,@BBCWorld
65,0.0,Wed Mar 28 00:41:30 +0000 2018,1.0,0.0,0.0,Can the ad industry persuade us to eat more vegetables? https://t.co/Jtss2hwwHd,@BBCWorld
66,0.2732,Wed Mar 28 00:33:33 +0000 2018,0.792,0.0,0.208,5 pop songs you didn't know were about God https://t.co/lL4RlGDqWc,@BBCWorld
67,0.4404,Wed Mar 28 00:16:30 +0000 2018,0.804,0.0,0.196,Kim Jong-un's Beijing visit is considered a significant step in North Korea's preparation for talks agreed in princ… https://t.co/eD7Xv8h709,@BBCWorld
68,0.5859,Wed Mar 28 00:04:15 +0000 2018,0.817,0.0,0.183,"@BBCBreaking North Korea's leader Kim Jong-un has visited Beijing and held ""successful talks"" with Chinese leader X… https://t.co/bvNkLb8m89",@BBCWorld
69,0.0,Tue Mar 27 23:50:38 +0000 2018,1.0,0.0,0.0,China confirms Kim Jong-un visit https://t.co/eRxfJKgLZc,@BBCWorld
70,-0.7841,Tue Mar 27 23:50:38 +0000 2018,0.537,0.463,0.0,Fired Vancouver waiter case: Are the French really rude? https://t.co/ETb72MasiY,@BBCWorld
71,0.5095,Tue Mar 27 21:37:00 +0000 2018,0.798,0.0,0.202,RT @BBCDanielS: BBC Exclusive interview with Sergei Skripal’s niece: “I would really like to know how they are” https://t.co/UQHT7fZv2y,@BBCWorld
72,0.0,Tue Mar 27 21:20:33 +0000 2018,1.0,0.0,0.0,"This 'smoking' elephant in India is baffling experts

https://t.co/4oBCX8OR7q https://t.co/5nVKiPNUZF",@BBCWorld
73,-0.2516,Tue Mar 27 20:14:24 +0000 2018,0.603,0.229,0.168,Spy poisoning: 'I would really like to know how they are' https://t.co/6hK6i3Co1S,@BBCWorld
74,0.0,Tue Mar 27 19:19:12 +0000 2018,1.0,0.0,0.0,Brazilian sports reporters tackle on-air groping https://t.co/MOxFd4yreE,@BBCWorld
75,0.6705,Tue Mar 27 18:14:45 +0000 2018,0.538,0.13,0.332,"RT @BBCNews: Owl ring-bearer attacks best man at wedding... prompting hoots of laughter 🦉

https://t.co/DjhjEdoYhy https://t.co/2x3bedxedn",@BBCWorld
76,-0.25,Tue Mar 27 18:13:18 +0000 2018,0.778,0.222,0.0,Nearly a million watch cat stuck up pole https://t.co/aw9PbAliF3,@BBCWorld
77,-0.5106,Tue Mar 27 18:02:09 +0000 2018,0.798,0.202,0.0,"RT @BBCSport: Australia coach Darren Lehmann denied ball-tampering during the Ashes when questioned at Johannesburg airport by @danroan 

W…",@BBCWorld
78,-0.4588,Tue Mar 27 17:57:01 +0000 2018,0.857,0.143,0.0,"RT @richard_conway: Sanctions announced against the three players within 24 hours by Cricket Australia. 
A nation is incensed, a Prime Mini…",@BBCWorld
79,0.7964,Tue Mar 27 17:51:11 +0000 2018,0.664,0.0,0.336,"I want to apologise to ""kids who love cricket and idolise the players"" - Cricket Australia boss James Sutherland on… https://t.co/evTGNOU23c",@BBCWorld
80,0.2023,Tue Mar 27 17:41:16 +0000 2018,0.913,0.0,0.087,"RT @richard_conway: Smith, Bancroft and Warner said to be only players with knowledge of ball tampering intentions... significant words in…",@BBCWorld
81,-0.34,Tue Mar 27 17:40:24 +0000 2018,0.806,0.194,0.0,Russia fire: Protester spoke on the phone to dying wife https://t.co/YDLIjNDGNg,@BBCWorld
82,0.0,Tue Mar 27 17:34:28 +0000 2018,1.0,0.0,0.0,"RT @bbctms: James Sutherland says only 3 people involved in ball tampering incident. 

Steve Smith, David Warner &amp; Cameron Bancroft. 

""Ser…",@BBCWorld
